courseID,className,classGroup,isRequired,credits,creditsAccumulation,grade,gradePoints,GPA,GPAaccumulation,temporaryGPA,courseDivision,acquireSemester,acquireYear,examFaultTimes,isFace2FaceExam,isSchooling,schoolingType
0,(認定),,,18,18,,,,,,0,2018/4/1,,,,,
9,英語Ⅱ,B,1,2,20,S,4,8,8,4,1,2018/8/1,1,0,1,0,
6,数学(微積分)SS,F,0,2,24,A,3,6,20,3.33,1,2018/10/1,1,0,1,1,SS
14,保健体育SS,,0,2,24,A,3,6,20,3.33,1,2018/10/1,1,0,1,1,SS
7,数学(線形数学)WS,C,0,2,26,B,2,4,24,3,1,2018/11/1,1,0,1,1,WS
2,経済学SS,,0,2,32,C,1,2,30,2.14,1,2019/10/1,2,0,1,1,SS
8,統計学SS,,0,2,32,C,1,2,30,2.14,1,2019/10/1,2,0,1,1,SS
12,英語R,,1,1,32,C,1,1,30,2.14,1,2019/10/1,2,0,1,1,SS
13,英語W,,1,1,32,C,1,1,30,2.14,1,2019/10/1,2,0,1,1,SS
3,社会心理学WS,,0,2,34,D,0,0,30,1.88,1,2019/11/1,2,0,1,1,WS
1,論理学（A）,B,0,4,38,S,4,16,46,2.3,1,2020/1/1,2,0,1,0,
4,統計学（A）,D,1,4,42,A,3,12,58,2.42,1,2020/2/1,2,0,1,0,
11,英語Ⅰ,D,1,2,44,B,2,4,62,2.38,1,2020/5/1,3,3,0,0,
5,数学(基礎),D,0,2,46,C,1,2,64,2.29,1,2020/8/1,3,2,0,0,
35,財政論SS,,0,2,54,D,0,0,64,1.78,2,2020/10/1,3,0,0,1,SS
40,法制史SS,,0,2,54,D,0,0,64,1.78,2,2020/10/1,3,0,0,1,SS
41,ゲーム理論SS,,0,2,54,D,0,0,64,1.78,2,2020/10/1,3,0,0,1,SS
43,経済原論（ミクロ経済学）SS,,0,2,54,D,0,0,64,1.78,2,2020/10/1,3,0,0,1,SS
16,経済政策学（Ｅ）,E,1,2,64,S,4,8,102,2.22,2,2020/11/1,3,0,0,0,
20,経済原論（ミクロ経済学）（Ｅ）,A,1,2,64,S,4,8,102,2.22,2,2020/11/1,3,0,0,0,
28,国民所得論,D,0,2,64,S,4,8,102,2.22,2,2020/11/1,3,0,0,0,
31,計量経済学,C,0,2,64,S,4,8,102,2.22,2,2020/11/1,3,0,0,0,
39,管理会計論WS,,0,2,64,S,4,8,102,2.22,2,2020/11/1,3,0,0,1,WS
10,英語Ⅶ,E,1,2,70,A,3,6,120,2.31,1,2021/2/1,3,1,0,0,
22,財政論（Ｅ）,B,1,2,70,A,3,6,120,2.31,2,2021/2/1,3,0,0,0,
24,簿記論,A,0,2,70,A,3,6,120,2.31,2,2021/2/1,3,0,0,0,
17,金融論（Ｅ）,F,1,2,80,B,2,4,140,2.26,2,2021/5/1,4,1,0,0,
21,経済原論（マクロ経済学）（Ｅ）,B,1,2,80,B,2,4,140,2.26,2,2021/5/1,4,2,0,0,
23,保険学,A,0,3,80,B,2,6,140,2.26,2,2021/5/1,4,0,0,0,
29,会計学（Ｅ）,E,0,3,80,B,2,6,140,2.26,2,2021/5/1,4,0,0,0,
18,経営学（Ｅ）,F,1,3,92,C,1,3,152,2.05,2,2021/8/1,4,0,0,0,
25,経営分析論,A,0,2,92,C,1,2,152,2.05,2,2021/8/1,4,0,0,0,
30,経営数学,F,0,2,92,C,1,2,152,2.05,2,2021/8/1,4,0,0,0,
33,社会保障論（Ｅ）,B,0,3,92,C,1,3,152,2.05,2,2021/8/1,4,0,0,0,
34,経済政策WS,,0,2,92,C,1,2,152,2.05,2,2021/8/1,4,0,0,1,WS
19,経済史,C,1,4,96,D,0,0,152,1.95,2,2021/9/1,4,0,0,0,
36,金融論SS,,0,2,104,S,4,8,184,2.14,2,2021/10/1,4,0,0,1,SS
38,日本経済論SS,,0,2,104,S,4,8,184,2.14,2,2021/10/1,4,0,0,1,SS
42,経済原論（マクロ経済学）SS,,0,2,104,S,4,8,184,2.14,2,2021/10/1,4,0,0,1,SS
44,マルクス経済学特殊SS,,0,2,104,S,4,8,184,2.14,2,2021/10/1,4,0,0,1,SS
26,国際貿易論,B,0,4,110,A,3,12,202,2.2,2,2021/11/1,4,0,0,0,
27,原価計算,C,0,2,110,A,3,6,202,2.2,2,2021/11/1,4,0,0,0,
37,計量経済学ES,,0,2,112,B,2,4,206,2.19,2,2022/2/1,4,0,0,1,ES
32,人文地理学,D,0,2,114,C,1,2,208,2.17,2,2022/5/1,5,0,0,0,
45,E-倫理学特殊,E,0,2,116,D,0,0,208,2.12,2,2022/8/1,5,0,0,1,E
15,情報処理SS,,0,2,118,S,4,8,216,2.16,1,2022/10/1,5,0,1,1,SS
47,卒論,,,8,126,A,3,24,240,2.22,3,2023/3/1,5,,,,
